####### ELECTION INFO ########
Election Name,State
Sample Prez Primary,MI

####### CONTESTS ########
Contest Name,Targeted?,Number of Winners,Votes Allowed,Total Ballots Cast,Tabulated Votes
POTUS (DEM),Targeted,1,1,2271110,Bennet: 1532; Biden: 838564; Bloomberg: 73175; Booker: 871; Buttigieg: 22374; Castro: 315; Delaney: 466; Gabbard: 9461; Klobuchar: 10969; Sanders: 576916; Sestak: 785; Steyer: 1732; Uncommitted: 19040; Warren: 26051; Williamson: 728; Yang: 2381
POTUS (Rep),Opportunistic,1,1,2271110,Sanford: 4258; Trump: 640522; Uncommitted: 28485; Walsh: 4067; Weld: 6099

####### AUDIT SETTINGS ########
Audit Name,Risk Limit,Random Seed,Online Data Entry?
ThursdayTest,10%,12345123451234512345,Yes

####### AUDIT BOARDS ########
Jurisdiction Name,Audit Board Name,Member 1 Name,Member 1 Affiliation,Member 2 Name,Member 2 Affiliation
Kalamazoo County,Audit Board #1,Snoopy Dog,Independent,Charlie Brown,
Keweenaw County,Audit Board #1,Mickey Mouse,Democrat,Minney Mouse,Republican

####### ROUNDS ########
Round Number,Contest Name,Targeted?,Sample Size,Risk Limit Met?,P-Value,Start Time,End Time,Audited Votes
1,POTUS (DEM),Targeted,663,No,,2020-05-14T22:25:10.487166,,Bennet: 0; Biden: 0; Bloomberg: 0; Booker: 0; Buttigieg: 0; Castro: 0; Delaney: 0; Gabbard: 0; Klobuchar: 0; Sanders: 0; Sestak: 0; Steyer: 0; Uncommitted: 0; Warren: 0; Williamson: 0; Yang: 0
1,POTUS (Rep),Opportunistic,663,No,,2020-05-14T22:25:10.487166,,Sanford: 0; Trump: 0; Uncommitted: 0; Walsh: 0; Weld: 0

####### SAMPLED BALLOTS ########
Jurisdiction Name,Batch Name,Ballot Position,Ticket Numbers,Audited?,Audit Result: POTUS (DEM),Audit Result: POTUS (Rep)
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 3 Batch 145",23,Round 1: 0.006031434,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 3 Batch 145",47,Round 1: 0.003922433,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 3 Batch 146",25,Round 1: 0.002512929,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 3 Batch 147",18,Round 1: 0.006782859,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 8 Batch 28",13,Round 1: 0.004758997,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 8 Batch 28",49,Round 1: 0.000912911,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 8 Batch 29",32,Round 1: 0.009077652,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 8 Batch 29",48,Round 1: 0.005260670,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 9 Batch 109",10,Round 1: 0.001886779,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precincts 5 & 45 Batch 150",14,Round 1: 0.002838662,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precincts 5 & 45 Batch 153",31,Round 1: 0.002792300,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precincts 5 & 45 Batch 179",4,Round 1: 0.001637348,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precincts 6 & 7 Batch 104",38,Round 1: 0.009165232,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precincts 6 & 7 Batch 106",47,Round 1: 0.002404750,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 12 Batch 121",15,Round 1: 0.010062954,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 12 Batch 122",25,Round 1: 0.010067796,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 12 Batch 238",1,Round 1: 0.004696558,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 13 Batch 227",2,Round 1: 0.001506168,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 13 Batch 92",20,Round 1: 0.004311209,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 13 Batch 92",48,Round 1: 0.000454614,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 15 Batch 127",0,Round 1: 0.006819828,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 15 Batch 128",27,Round 1: 0.007906871,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 15 Batch 128",49,Round 1: 0.003842393,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 16 Batch 116",2,Round 1: 0.002939424,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 16 Batch 116",20,Round 1: 0.010132605,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 17 Batch 25",13,Round 1: 0.005261049,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 17 Batch 25",15,Round 1: 0.009230832,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 21 Batch 197",5,Round 1: 0.005627784,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 21 Batch 225",2,Round 1: 0.010236923,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 21 Batch 66",21,"Round 1: 0.000760058, 0.006031887",NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 21 Batch 67",9,Round 1: 0.002185184,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 21 Batch 69",42,Round 1: 0.010018706,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precinct 21 Batch 70",20,Round 1: 0.007484358,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precincts 14 & 18 Batch 100",21,Round 1: 0.008999515,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precincts 14 & 18 Batch 207",7,Round 1: 0.005369150,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precincts 14 & 18 Batch 94",38,Round 1: 0.007642381,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precincts 14 & 18 Batch 96",2,Round 1: 0.005954162,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precincts 14 & 18 Batch 99",4,Round 1: 0.011430259,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precincts 14 & 18 Batch 99",10,Round 1: 0.007672345,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precincts 19 & 20 Batch 169",25,Round 1: 0.004261834,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precincts 19 & 20 Batch 170",45,Round 1: 0.006312660,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precincts 19 & 20 Batch 171",12,Round 1: 0.006732968,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precincts 19 & 20 Batch 171",31,Round 1: 0.010513785,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precincts 19 & 20 Batch 173",49,Round 1: 0.000723724,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precincts 19 & 20 Batch 175",39,Round 1: 0.006942461,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 2, Precincts 19 & 20 Batch 175",44,Round 1: 0.004183325,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precinct 23 Batch 15",8,Round 1: 0.002251585,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precinct 23 Batch 15",14,Round 1: 0.007384427,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precinct 23 Batch 16",2,Round 1: 0.010065781,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precinct 23 Batch 16",41,Round 1: 0.003058726,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 22 & 26 Batch 165",19,Round 1: 0.004616904,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 22 & 26 Batch 168",11,Round 1: 0.011774361,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 24 & 25 Batch 131",26,Round 1: 0.000958321,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 24 & 25 Batch 134",8,Round 1: 0.002433698,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 24 & 25 Batch 134",28,Round 1: 0.003987990,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 24 & 25 Batch 135",8,Round 1: 0.009252836,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 24 & 25 Batch 136",40,Round 1: 0.005894006,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 24 & 25 Batch 137",9,Round 1: 0.004952239,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 28 & 31 Batch 209",21,Round 1: 0.008668939,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 28 & 31 Batch 44",34,Round 1: 0.005885855,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 28 & 31 Batch 44",45,Round 1: 0.001317908,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 28 & 31 Batch 45",7,Round 1: 0.007234008,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 28 & 31 Batch 46",30,Round 1: 0.008335602,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 28 & 31 Batch 48",13,Round 1: 0.002456380,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 28 & 31 Batch 48",33,Round 1: 0.003016493,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 28 & 31 Batch 49",30,Round 1: 0.002004670,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 28 & 31 Batch 49",42,Round 1: 0.009947907,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 28 & 31 Batch 52",9,"Round 1: 0.011129208, 0.011818870",NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 28 & 31 Batch 53",3,Round 1: 0.001960034,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 29 & 30 Batch 241",13,Round 1: 0.011352908,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 29 & 30 Batch 80",9,Round 1: 0.006095605,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 3, Precincts 29 & 30 Batch 80",27,Round 1: 0.009884784,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 32 Batch 13",44,Round 1: 0.009356855,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 33 Batch 158",28,Round 1: 0.000701213,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 33 Batch 160",6,Round 1: 0.001969340,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 33 Batch 162",29,Round 1: 0.005062362,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 33 Batch 162",48,Round 1: 0.011312710,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 35 Batch 230",3,Round 1: 0.004204445,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 35 Batch 32",23,Round 1: 0.004201740,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 41 Batch 35",33,Round 1: 0.012054246,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 41 Batch 36",12,Round 1: 0.000266916,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 41 Batch 36",14,Round 1: 0.002636708,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 41 Batch 36",16,Round 1: 0.011509580,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 41 Batch 40",47,Round 1: 0.000426864,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 42 Batch 117",42,Round 1: 0.011026263,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 42 Batch 119",49,Round 1: 0.004273382,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 43 Batch 5",11,Round 1: 0.009066629,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 44 Batch 156",26,Round 1: 0.011483112,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 44 Batch 156",33,Round 1: 0.001610155,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precinct 44 Batch 157",32,Round 1: 0.000834313,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precincts 36 & 37 Batch 73",20,Round 1: 0.001749101,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precincts 36 & 37 Batch 73",44,Round 1: 0.005745173,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precincts 36 & 37 Batch 75",34,Round 1: 0.009486991,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 4, Precincts 38 & 40 Batch 21",28,Round 1: 0.010505050,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 1",11,Round 1: 0.005868894,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 1",69,Round 1: 0.005860328,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 1",122,Round 1: 0.002166279,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 1",125,Round 1: 0.010636438,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 10, Ward 2, Precinct 11, & Ward 4, Precinct 34",28,Round 1: 0.005684690,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 10, Ward 2, Precinct 11, & Ward 4, Precinct 34",39,Round 1: 0.000061047,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 2",20,Round 1: 0.006542064,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 2",33,Round 1: 0.007695961,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 3",208,Round 1: 0.007366227,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 3",209,Round 1: 0.011770352,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 4",61,Round 1: 0.001103444,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 5 & 45",85,Round 1: 0.000973925,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 5 & 45",164,Round 1: 0.006050313,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 5 & 45",172,Round 1: 0.008718155,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 5 & 45",179,Round 1: 0.001620677,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 5 & 45",303,Round 1: 0.001604219,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 5 & 45",355,Round 1: 0.009366550,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 6 & 7",41,Round 1: 0.006800456,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 6 & 7",97,Round 1: 0.005167716,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 6 & 7",129,Round 1: 0.002920329,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 8",92,Round 1: 0.002924430,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 1, Precinct 9",4,Round 1: 0.008719051,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 2, Precinct 12",86,Round 1: 0.002203948,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 2, Precinct 12",92,Round 1: 0.005940846,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 2, Precinct 14 & 18",30,Round 1: 0.007236870,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 2, Precinct 15",21,Round 1: 0.004062336,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 2, Precinct 15",35,Round 1: 0.001974655,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 2, Precinct 15",43,Round 1: 0.004617495,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 2, Precinct 15",63,Round 1: 0.001789679,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 2, Precinct 17",34,Round 1: 0.007647134,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 2, Precinct 19 & 20",11,Round 1: 0.009192622,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 2, Precinct 19 & 20",88,Round 1: 0.005433659,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 2, Precinct 19 & 20",104,Round 1: 0.004388477,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 3, Precinct 22 & 26",8,Round 1: 0.006088267,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 3, Precinct 22 & 26",52,Round 1: 0.006314232,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 3, Precinct 22 & 26",53,Round 1: 0.002542003,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 3, Precinct 23",85,Round 1: 0.008098908,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 3, Precinct 24 & 25",67,Round 1: 0.004844263,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 3, Precinct 28 & 31",12,Round 1: 0.009515382,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 3, Precinct 28 & 31",25,Round 1: 0.009269826,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 3, Precinct 29 & 30",117,Round 1: 0.010307429,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 4, Precinct 35",19,Round 1: 0.002067011,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 4, Precinct 35",89,Round 1: 0.000809166,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 4, Precinct 38 & 40",23,Round 1: 0.002664379,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 4, Precinct 39",29,Round 1: 0.000234874,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 4, Precinct 39",108,Round 1: 0.009928835,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 4, Precinct 39",122,Round 1: 0.003446965,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 4, Precinct 41",32,Round 1: 0.005839366,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 4, Precinct 41",81,Round 1: 0.004770039,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 4, Precinct 41",82,Round 1: 0.011493563,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 4, Precinct 41",105,Round 1: 0.008144998,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 4, Precinct 42",67,Round 1: 0.002838385,NOT_AUDITED,,
Kalamazoo County,"City of Lansing, Ward 4, Precinct 43",46,Round 1: 0.002999572,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 10, Ward 2, Precinct 11 & Ward 4, Precinct 34 Batch 61",3,Round 1: 0.001413205,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 10, Ward 2, Precinct 11 & Ward 4, Precinct 34 Batch 61",9,Round 1: 0.006971558,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 1 Batch 139",22,Round 1: 0.011221003,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 2 Batch 56",0,Round 1: 0.009494123,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 2 Batch 56",7,Round 1: 0.011821216,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 2 Batch 56",22,"Round 1: 0.001320265, 0.010263396",NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 2 Batch 57",7,Round 1: 0.009757520,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 2 Batch 57",28,Round 1: 0.002943867,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 2 Batch 57",33,Round 1: 0.007840684,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 3 Batch 143",40,Round 1: 0.010348843,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 3 Batch 148",0,Round 1: 0.003768271,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 3 Batch 243",5,Round 1: 0.010236103,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 8 Batch 28",21,Round 1: 0.010580976,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 8 Batch 29",25,Round 1: 0.011433230,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precinct 9 Batch 110",3,Round 1: 0.011378923,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precincts 5 & 45 Batch 149",3,Round 1: 0.009205779,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precincts 5 & 45 Batch 149",10,Round 1: 0.009586756,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precincts 5 & 45 Batch 149",11,Round 1: 0.007698029,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precincts 5 & 45 Batch 150",24,Round 1: 0.000505747,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precincts 5 & 45 Batch 151",10,Round 1: 0.009949240,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precincts 6 & 7 Batch 103",2,Round 1: 0.003061206,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precincts 6 & 7 Batch 104",34,Round 1: 0.006461182,NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precincts 6 & 7 Batch 213",2,"Round 1: 0.005202760, 0.009844350",NOT_AUDITED,,
Kalkaska County,"AVCB City of Lansing, Ward 1, Precincts 6 & 7 Batch 213",8,Round 1: 0.004196948,NOT_AUDITED,,
